subject_code,subject_name,max_marks,credit,practical
SALB3507,PROFESSIONAL ETHICS AND PROFESSIONAL ACCOUNTING (CLINICAL COURSE II),100,5,True
SALB3508,MOOT COURTEXERCISE& INTERNSHIP (CLINICAL COURSE -IV),100,6,True
SALB3601,ADMINISTRATIVE LAW,100,4,False
SALB3602,FAMILY LAW II,100,4,False
SALB3603,LAW OF CRIMES -I (IPC),100,4,False
SALB3604,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB3605,DISASTER MANAGEMENT,100,2,False
SALB3606,ACADEMIC WRITING,100,2,False
SALB3607,PROFESSIONAL ETHICS AND PROFESSIONAL ACCOUNTING (CLINICAL COURSE II),100,5,True
SALB3608,MOOT COURTEXERCISE& INTERNSHIP (CLINICAL COURSE -IV),100,6,True
SALB3701,LABOUR LAW -I,100,4,False
SALB3702,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB3703,LAW OF EVIDENCE,100,4,False
SALB3704,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB3705,DISASTER MANAGEMENT,100,2,False
SALB3706,ACADEMIC WRITING,100,2,False
SALB3707,PROFESSIONAL ETHICS AND PROFESSIONAL ACCOUNTING (CLINICAL COURSE II),100,5,True
SALB3708,MOOT COURTEXERCISE& INTERNSHIP (CLINICAL COURSE -IV),100,6,True
SALB3801,COMPANY LAW,100,4,False
SALB3802,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB3803,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB3804,ENVIRONMENTAL LAW,100,4,False
SALB3805,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB3901,PRINCIPLES OF TAXATION LAW,100,4,False
SALB3902,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB3903,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB3904,ENVIRONMENTAL LAW,100,4,False
SALB3905,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB4001,CONSTITUTIONAL LAW II,100,4,False
SALB4002,FAMILYLAW II,100,4,False
SALB4003,LAW OF EVIDENCE,100,4,False
SALB4004,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB4005,DISASTER MANAGEMENT,100,2,False
SALB4006,ACADEMIC WRITING,100,2,False
SALB4007,PROFESSIONAL ETHICS AND PROFESSIONAL ACCOUNTING (CLINICAL COURSE II),100,5,True
SALB4008,MOOT COURTEXERCISE& INTERNSHIP (CLINICAL COURSE -IV),100,6,True
SALB4101,LABOUR LAW -I,100,4,False
SALB4102,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB4103,LAW OF CRIMES -I (IPC),100,4,False
SALB4104,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB4105,DISASTER MANAGEMENT,100,2,False
SALB4106,ACADEMIC WRITING,100,2,False
SALB4201,COMPANY LAW,100,4,False
SALB4202,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB4203,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB4204,ENVIRONMENTAL LAW,100,4,False
SALB4205,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB4301,PRINCIPLES OF TAXATION LAW,100,4,False
SALB4302,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB4303,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB4304,ENVIRONMENTAL LAW,100,4,False
SALB4305,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB4401,CONSTITUTIONAL LAW II,100,4,False
SALB4402,FAMILYLAW II,100,4,False
SALB4403,LAW OF EVIDENCE,100,4,False
SALB4404,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB4405,DISASTER MANAGEMENT,100,2,False
SALB4406,ACADEMIC WRITING,100,2,False
SALB4501,LABOUR LAW -I,100,4,False
SALB4502,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB4503,LAW OF CRIMES -I (IPC),100,4,False
SALB4504,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB4505,DISASTER MANAGEMENT,100,2,False
SALB4506,ACADEMIC WRITING,100,2,False
SALB4601,COMPANY LAW,100,4,False
SALB4602,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB4603,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB4604,ENVIRONMENTAL LAW,100,4,False
SALB4605,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB4701,PRINCIPLES OF TAXATION LAW,100,4,False
SALB4702,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB4703,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB4704,ENVIRONMENTAL LAW,100,4,False
SALB4705,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB4801,CONSTITUTIONAL LAW II,100,4,False
SALB4802,FAMILYLAW II,100,4,False
SALB4803,LAW OF EVIDENCE,100,4,False
SALB4804,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB4805,DISASTER MANAGEMENT,100,2,False
SALB4806,ACADEMIC WRITING,100,2,False
SALB4901,LABOUR LAW -I,100,4,False
SALB4902,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB4903,LAW OF CRIMES -I (IPC),100,4,False
SALB4904,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB4905,DISASTER MANAGEMENT,100,2,False
SALB4906,ACADEMIC WRITING,100,2,False
SALB5001,COMPANY LAW,100,4,False
SALB5002,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB5003,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB5004,ENVIRONMENTAL LAW,100,4,False
SALB5005,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB5101,PRINCIPLES OF TAXATION LAW,100,4,False
SALB5102,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB5103,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB5104,ENVIRONMENTAL LAW,100,4,False
SALB5105,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB5201,CONSTITUTIONAL LAW II,100,4,False
SALB5202,FAMILYLAW II,100,4,False
SALB5203,LAW OF EVIDENCE,100,4,False
SALB5204,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB5205,DISASTER MANAGEMENT,100,2,False
